CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.515248685,0.386102426,1.496302871,6.733965595,3.075117605,,1.41499691,0.912567889,0.061419766,2.111606259,1.159352162,0.698483736,0.874957371,1.266648122,2.245344025,1.635384901,0.254087434,-0.502567813,0.433140385,3.19998542,3.375163847,0.443178946,2.879669682,1.947092671,-0.034448886,1.212058133,1.22587771,,2.021570268,-0.538324807,3.341305805,2.923651779,1.295228613,2.31733217,1.002034424,1.627544859,-7.954941586,1.74985848,3.477882288,1.073008183,0.593932815,1.553738351,2.111400782,2.432267032,,1.80436659,2.070602946,-0.022525059,0.164986197,1.165250731,0.084746025,0.504454333,3.093162053,0.259594962,1.756900632,0.361879815,1.510757804,1.135464148,1.895925926,0.338843158,2.75922529,4.07974488,-0.334623869,2.597942512,0.620965549,0.290150102,0.729300032,2.009098324,3.080539328,-0.245166188,-0.029989595,2.26809491,1.324171891,0.345931802,0.285158721,2.499153156,1.904840131,2.456665908,0.236822594,1.651319372,,2.007336879,0.779918562,-0.221439379,0.87616054,1.429289838,1.296325016,1.516763998,2.517550998,1.804330864,1.767623642,0.985757242,0.471143392,0.033662258,2.410677289,0.694909484,2.609716289,1.81142335,2.599726069,1.069990454,1.610825313,-0.541198496,1.559141767,0.963118683,2.728375705,2.052562111,1.061739452,-0.541534642,1.421332565,2.178969353,2.809403319,2.66367585,1.84072637,1.378778378,3.118527699,0.675086949,1.961185732,2.70508476,0.861092603,1.013346344,0.553278496,0.179244748,1.319196788,-1.441641844,,1.103889273,2.628873318,0.667480165,1.875291459,,2.096265417,0.347406323,,1.486219082,1.278112233,3.486236282,2.408868436,,0.590816245,1.735305767,2.41109741,0.587105644,3.477721987,1.782979276,2.507727972,1.93527929,1.30624351,1.885583419,-0.058512735,0.581757356,8.578873148,0.375399302,-0.247616696,-0.263174862,-0.519935361,1.533647748,0.586611363,1.123043866,0.193680543,0.132055326,,1.684121637,2.184699178,2.604171957,-0.233328452,-0.362976805,4.005236721,1.253412533,0.052025274,0.065120482,2.591929699,2.343524771,1.181883826,1.622659536,1.496080706,2.320395075,1.313111158,0.640519426,0.401092715,0.687425516,3.070746987,1.152936065,1.16452483,0.257088668,4.482871437,2.515997124,,0.723922241,0.344676993,0.936675504,1.319290445,1.484150303,9.074213071,0.582243275,3.250756936,-0.758627911,4.346102979,0.520876087,2.713558998,0.932516374,-0.054731085,1.153712843,2.758547313,1.749045572,1.386226805,2.89432636,2.297011575,-0.143137779,,,,0.258627659,,,0.445116201,0.780742393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.123,1.931,2.457,,6.378,,,2.311,1.712,1.781,1.763,1.41811,2.0535,2.074,2.433,2.643,1.503,1.2,1.72384,3.212,5.701,,3.125,3.821,1.244,3.076,2.143,,2.212,1.28716,6.09,5.179,3.227,4.855,1.53,3.165,,5.182,6.458,1.973,1.759,2.517,4.144,4.692,,2.164,4.934,1.35,1.586,1.56,1.22561,1.89,6.528,1.78136,4.336,,2.782,2.74,3.069,2.495,5.56,5.039,1.46521,5.722,2.907,1.80024,1.91505,3.633,5.357,1.568,1.35611,4.467,,1.30278,2.372,4.467,5.7,5.817,2.4,3.849,,3.585,0.927,1.27586,2.03968,3,2.319,1.999,4.46,1.93922,2.9,1.33237,2.488,1.29,3.602,2.21,5.008,,2.246,2.6,3.776,1.23909,1.991,3.655,5.975,2.926,1.43815,1.26083,1.66065,0.858,5.13,5.906,2.768,2.222,6.64,1.39507,,4.789,1.87,2.251294129,3.921,,2.027,1.731,,2.457,5.41,2.399,3.675,,3.379,1.72487,,2,2.901,7.314,5.708,,1.82815,3.523,4.298,,5.481,2.661,4.282,3.355,2.733,3.264,1.22658,1.39697,2.747,1.16,1.484,1.29233,1.33,5.707,,2.066,2.193,4.344,,4.193,3.585,5.262,,2,5.309,1.26,1.24128,1.24625,4.217,6.485,2.72,1.3291,2.342,4.64,2.543,3.868,1.7519,1.41523,3.527,3.688,1.802,1.508,6.872,4.666,,4.172,1.604,2.02,2.184,2.664,,,6.623,1.2,2.289,1.76573,5.647,2.045,2.08,2.46,4.219,2.69,2.184,5.709,6.061,3.657,,,,2.42,,,1.7822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,25482401.4,3086736,31885435,69740,15646832,,81260,38023463,3059964,97092,19895400,8117800,8234039.364,317407,695896,148281341,251955,9873968.351,10376080.14,273700,7358142,63040,615533,8835442,3783067,1793620,181633074,,355509,7823000,12853460,6955720,13024171,17017725,31676000,462440,43574,3958741,9365969,15954700,1288400000,41741289,575660,3260769,,4180270,18453355,4440000,11161419,817104,10207362,23301815,55590624,5387174,777071,71212.82829,9252034,12773494,74296319,6016772,576342,4134377,1353520.149,70880658,817791,5212995.694,62078165,1315994,1436321,4328900,82541000,20954557,30008,11023550,101903,12090955,8869959,1403045,760850,9105487,,6621657,6730800,10129552,289548.0962,1064398612,213655540,67044288.96,27078334.41,3995700,6689700,57604650,2625700,127718000,5164000,14909019,33991605,88789,2396416.685,5038600,5690114,2325341.867,3965419,1957590,3137852,5684810,34008,3454239.908,451630,466162,16656727,12144945,24714656,284443,12380104,398600,53588.32535,2830156,1222811,101020862.2,108325,32329,2484456,640327,,29820777,19783627,47680888,1934616,,26122557,16225267.05,,4027200,5317982,12203056,134269942,,4564900,2525751,148438764.3,19700,3334511.718,3119453,5820702,5681974,27130720,82343966,38204570,10441045.94,731512,47859000,3612869,21742028.25,144599446.7,8685457,46710,160620,108321,178595,,147611,22042481.24,10706962,7480591,82800,4732526,4114800,5379649.981,1995699.877,449956,7974524,46116494,42004500,19173000,36643433,487301,1107886,8956000,7338957.415,17951881,6379311,64522878,2027819,931324,5698109,,100475,1309114,9839800,69329456,4703861,26130,9590,26890404,47812950,3765526,59568776,36929648,290326000,3303539.568,25567700,199968,25674000,80902400,19843432,10938261,12510191,,,,56765,,,3876637,79102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.515248685,0.3392497,1.489204008,,3.134255614,,1.532730088,0.916773451,-0.020521012,2.271937223,1.233996663,0.421700226,0.757613339,1.296302117,2.270750569,1.689413478,0.192680201,-0.515499201,0.416051357,3.154835773,3.389376301,0.461086754,3.102548515,1.986716718,0.18557721,1.210280578,1.298827999,,2.063569574,-0.586287685,3.283510608,2.75710656,1.383502538,2.326287252,0.996232739,1.686576255,2.60866163,1.753565404,3.626978086,1.100050885,0.622860936,1.578869354,2.111400782,2.518878429,,1.932008592,2.072456154,0,0.202365296,1.214164355,0.024583319,0.559216838,3.11678083,0.24009834,1.843359994,0.188104034,1.534590786,1.177620161,1.905487122,0.348450711,2.804685116,4.228890947,-0.377622966,2.604193833,0.62964459,0.238127695,0.701740976,2.074727217,3.179036028,-0.647027897,0.039988125,2.315536925,1.460222988,0.327107978,0.264325559,2.492311102,1.866060245,2.490551153,0.265318472,1.675171091,,2.015090894,-0.197404126,-0.286433268,0.536093841,1.491518199,1.317926505,1.548875041,2.517550998,1.61214466,1.805519759,0.779442794,0.312968787,0.213980949,2.470229505,0.336408914,2.601302889,1.850578529,2.599726069,0.905127892,1.612084055,-0.54287951,1.69896493,1.038222545,2.615024407,2.051540464,1.11772653,-0.429100373,1.21520088,2.015840383,2.843299162,2.60121755,1.898166628,1.399124311,3.102678044,0.667046712,1.772219378,2.761118563,1.036997678,1.013346344,0.552643582,0.213658754,1.335608748,-1.507645299,,1.097179223,2.685204822,0.668990476,1.886055856,,2.166517093,0.471834248,,1.973558544,1.312472213,3.385293304,2.419099712,,0.591022164,1.663406176,2.411203447,-1.391291723,3.477721987,1.816979638,2.54040556,1.970169916,1.35732453,1.906500733,-0.067492702,0.698915437,6.639430139,0.496434865,-0.281650308,-0.28063126,-0.483095546,1.704159772,0,0.930099621,0.189431623,0.228711189,,1.711592531,2.184699178,2.595272233,-0.259535431,-1.08109161,4.146116336,-1.476362031,0.010223904,0.085213294,2.620740731,2.411609862,1.272692272,1.657654007,1.323062299,2.283643864,1.387164777,0.605501686,0.357942217,0.742123588,2.902934723,1.083995571,1.229482984,0.274760585,4.752400636,2.576524946,,0.725190968,0.343569586,0.590164645,1.352430822,1.502020667,11.0305323,0.627617123,3.231514779,-0.811436362,4.750502124,0.405593881,2.667492598,0.872473664,-0.150848711,1.164068653,2.744245431,1.784147613,1.463017396,2.904350302,2.263345809,-0.059701487,,,,0.291095341,,,0.474861036,0.959048056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.28,1.982,2.483,,6.523,,,2.341,1.701,1.804,1.748,1.37502,1.9,2.105,2.472,2.737,1.498,1.21,1.65656,3.302,5.763,,3.277,3.906,1.275,3.146,2.208,,2.262,1.23394,6.128,5.332,3.353,4.89,1.53,3.3,,5.261,6.511,1.991,1.758,2.542,4.182,4.742,,2.232,4.999,1.33,1.605,1.591,1.17784,1.908,6.642,1.75865,4.45,1.9,2.81,2.791,3.128,2.579,5.616,5.139,1.37043,5.827,2.954,1.75971,1.89165,3.727,5.428,1.573,1.33715,4.515,,1.28269,2.408,4.553,5.77,5.834,2.418,3.953,,3.678,0.901,1.2718,1.99033,3.07,2.354,2.047,4.587,1.96432,2.95,1.2866,2.514,1.29,3.603,2.03,5.003,,2.276,2.5,3.923,1.28594,2.068,3.755,6.0125,2.987,1.36263,1.262,1.61697,0.855,5.234,5.993,2.82,2.32,6.68,1.48498,,4.864,1.87,2.353753577,4.014,,2.038,1.759,,2.5,5.485,2.425,3.76,,3.529,1.74623,,1.91,2.966,7.36,5.712,,1.79678,3.711,4.388,,5.579,2.686,4.337,3.435,2.776,3.318,1.22241,1.43826,2.844,1.19,1.493,1.26842,1.31,5.767,,2.101,2.227,4.412,,4.291,3.729,5.333,,2.1,5.329,1.27,1.19985,1.20117,4.309,6.497,2.762,1.31044,2.321,4.764,2.589,3.953,1.7122,1.385,3.591,3.765,1.803,1.542,6.959,4.773,,4.179,1.604,2.06,2.219,2.704,,,6.682,1.2,2.393,1.71127,5.656,,2.1,2.36,4.277,2.72,2.214,5.839,6.093,3.704,,,,2.361,,,1.7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,2,2,1,0,0,1,2,3,3,0,2,4,2,1,1,0,1,3,3,4,4,1,3,2,2,3,0,3,3,1,1,4,2,3,0,4,4,3,2,3,4,1,3,2,3,1,3,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,24849449.16,3076282,31414114,,15164026,,80024,37676467,3060592,94911,19651400,8083639.298,8171892.896,313319,680272,145797298,251470,9925000,10333000,265200,7112926,62750,596729,8661639,3776053,1772043,179289227,,348248,7869000,12438269,6766563,12845222,16626413,31362000,454706,42452,3889927,9032354,15780152,1280400000,41087424,563632.9269,3179660,,4100282,18074853,4440000,11138855,807243,10204853,23171871,53884709,5374255,762878,71079,9111137,12623953,72894015,5995843,560402,3963184,1358641.015,69058616,812658,5200596.876,61644062,1288972,1391378,4357000,82508000,20474921,29573,10987550,101634,11793335,8705975,1368533,758834,8954225,,6489560,6744100,10158608,288000,1048640721,210858191,66013857.35,26405133.18,3931800,6570000,57157400,2617495.224,127445000,5038000,14858948,33118782,87161,2334919.262,4993200,5599120,2338000,3898617,1937371,3056860,5569372,33630,3469093.911,446175,456859,16189796,11833102,24249955,280491,12001887,395950,52646.98858,2753081,1210196,100002340.3,107728,32260,2451494,650054,,29495378,19259465,47362972,1898470,,25562694,16148891.01,,3948500,5248641,11796861,131060791,,4538000,2484085,144902409.4,19976,3220539.967,3063285,5674695,5571125,26764956,80788948,38230364,10368326.28,684521,47622000,3623059,21803128.88,145299690.3,8538697,46710,159133,108116,178187,,145106,21566141.57,10432662,7500031,83700,4540322,4176000,5379099.999,1994000,438317,7784510,45533292,41313950,18921000,35816110,480588,1101198,8924000,7284694.878,17438241,6310533,63734437,2022255,888099,5553171,,99749,1304624,9781900,68398135,4633736,23401,9530,26035327,48202500,3590827,59327658,35957575,287804000,3308526.676,25271800,194555,25220000,79727400,19275398,10693471,12517662,,,,56600,,,3858272,78347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.515248685,0.224516074,1.474571449,,3.078029963,,1.721724889,0.956035361,-0.157818701,2.315051431,1.220563785,0.503808706,0.74616793,1.345023586,2.277485286,1.735666242,0.055290265,-0.454984084,0.446169508,3.024153902,3.342106565,0.463222616,3.139970576,2.016644911,0.736247391,1.319241528,1.354495615,,2.127289048,-0.519679223,3.206910072,2.436378477,1.502351533,2.336266611,0.897131277,1.737885612,2.630160443,1.825960943,3.655698151,1.136268171,0.669999568,1.608931884,2.111400782,2.43037001,,2.053184785,2.163309987,0,0.226392423,1.267345177,-0.187450618,0.63457788,3.015598532,0.357394318,2.069832219,0,1.556991869,1.22832726,1.905257463,0.389393078,2.861198419,4.154338149,-0.40080949,2.620662837,0.657908887,0.242602089,0.720233228,2.155698847,3.278004839,-0.672509797,0.212325897,2.350879863,1.317264065,0.342792358,0.228531,2.465338781,1.866676581,2.462007404,0.218864223,1.714856454,,2.029891041,0.442846827,-0.284751377,1.047129987,1.55374656,1.334218337,1.580986085,2.517550998,1.67605629,2.014058394,0.309625167,0.486631169,0.232527187,2.420890665,0.004125545,2.598123368,1.850403645,2.599726069,0.77201831,1.701552629,-0.894193738,1.697721917,1.181899744,3.304054723,2.046887761,1.145398828,-0.351100787,1.047660816,1.8541939,2.884209272,2.600602787,1.993259392,1.45116661,3.063379922,0.747832879,1.481313377,2.787783528,0.855994475,1.013346344,0.407408315,0.319791632,1.313920723,-1.137107657,,1.1214017,2.700852238,0.740169339,1.948949782,,2.232196018,0.638610035,,1.737174864,1.380139833,3.348144925,2.427214025,,0.552426551,1.653556182,2.411309484,1.767633519,3.477721987,1.852567741,2.576752096,2.005060437,1.412604143,1.936999463,-0.046318937,0.729777475,5.441204735,0.558019536,-0.231607464,-1.49710391,-0.44627828,2.714267401,1.290674126,0.779740884,0.150877757,0.372211657,,1.735087808,2.184699178,2.601767514,-0.045349528,3.029910009,3.874283483,0.914127126,0.003718163,0.100351238,2.651675769,2.514986856,1.378909752,1.446979207,0.657513372,2.298590416,1.418074096,0.80279754,0.336738448,0.756307958,2.776706292,1.079294424,1.172899451,0.306067351,4.088420799,2.725134672,,0.650740789,0.355138142,1.11332136,1.404618466,1.473422848,11.43222987,0.621021942,3.19795193,-0.993676542,5.060014507,0.36977036,2.624347551,0.950283471,0.005145956,1.213419667,2.609371189,1.82059645,1.31506088,2.913240132,2.304813645,0.121950123,,,,0.442674472,,,0.532846724,1.089554877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,7.438,2.049,2.515,,6.648,,1.7,2.379,1.691,1.833,1.756,1.3932,1.8,2.145,2.512,2.835,1.494,1.22,1.6599,3.397,5.828,1.7448,3.435,3.987,1.314,3.226,2.267,,2.322,1.213,6.168,5.484,3.505,4.919,1.52,3.44,,5.332,6.553,2.015,1.759,2.57,4.222,4.78,,2.299,5.056,1.34,1.618,1.631,1.17046,1.93,6.745,1.72429,4.566,1.9,2.836,2.844,3.189,2.682,5.672,5.238,1.37175,5.937,3,1.71759,1.88115,3.828,5.499,1.584,1.33875,4.566,,1.26803,2.454,4.637,5.841,5.85,2.434,4.064,,3.778,0.939,1.30263,1.93473,3.14,2.387,2.095,4.726,1.96918,2.89,1.27035,2.541,1.32,3.605,2,4.997,3.6,2.314,2.5,4.11,1.23286,2.163,3.862,6.05,3.05,1.47034,1.23598,1.62605,0.866,5.341,6.078,2.87,2.446,6.72,1.4547,,4.939,1.94,2.480686001,4.109,,2.059,1.785,,2.554,5.558,2.454,3.847,,3.685,1.73066,,1.89,3.045,7.406,5.716,,1.7541,3.924,4.483,,5.67,2.709,4.393,3.516,2.822,3.378,1.2479,1.46782,2.94,1.17,1.509,1.2547,1.3,5.815,2.107,2.1,2.269,4.46,,4.389,3.881,5.412,1.5,2.04,5.349,1.37,1.18517,1.21167,4.406,6.504,2.8,1.26275,2.291,4.888,2.638,4.039,1.64908,1.38939,3.654,3.848,1.806,1.581,7.034,4.882,,4.178,1.608,2,2.264,2.742,,,6.738,1.1,2.496,1.63653,5.664,2.013,2.15,2.52,4.335,2.76,2.245,5.977,6.119,3.752,,,,2.489,,,1.8317,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1,0,4,0,1,1,2,1,3,0,1,0,1,0,2,1,3,4,1,2,3,2,3,1,3,2,2,3,1,0,0,2,4,1,1,4,2,1,4,3,1,4,2,3,2,0,2,2,2,1,2,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,24232218.7,3069383,30954289,,14704383,,78658,37317983,3065426,92739,19413000,8043015.638,8111143.779,309133,664954,143288578,251331,9970260.055,10287000,257300,6879133,62460,578283,8488714,3748354,1748819,176877135,,340918,7910000,12045713,6603696,12653684,16242478,31081900,446872,41350,3819543,8708121,15601862,1271850000,40431645,551857.1315,3103314,,4016954,17688037,4440000,11113666,797077,10224000,23025293,52284019,5355082,747250,71079,8970376,12469838,71518343,5972541,544595,3801913,1364097.505,67272331,807329,5187995.412,61201676,1261483,1346508,4386400,82333000,19999194,29186,10949950,101402,11506144,8544970,1335251,757175,8801982,,6359157,6714300,10187576,285000,1032473426,208063567,64978394.29,25748668.58,3866450,6439000,56980700,2604788.619,127149000,4917500,14858335,32269397,85563,2275000,4954800,5504654,2359000,3832988,1914608,2957510,5456532,33247,3481295.334,441525,448466,15729518,11529337,23771376,276450,11639798,393000,51872.86941,2677391,1199881,98994087.38,107290,32157,2419494,657488,,29166464,18746257,47013700,1861828,,24998406,16046091.16,,3880500,5176700,11408424,127917961,,4513000,2443347,141450153.4,19626,3110463.708,3007058,5530340,5460533,26389531,79239125,38248076,10292935.99,648270,47357000,3631460,22132000,145949580.3,8310051,46111,157897,107953,177525,,142610,21100095.64,10164729,7503433,81202,4367781,4138000,5378899.999,1992000,426847,7591172,44909738,40720450,18797000,35002234,473821,1092393,8894000,7229807.969,16960693,6242790,62991263,2016075,852522,5403883,,99102,1299999,9673600,67444118,4565962,20873,9471,25215902,48683864.58,3413651,59108687,35026198,285082000,3308356.425,24967000,189544,24765000,78685800,18721960,10449825,12502406,,,,56350,,,3837768,77498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.515248685,0.059541086,1.458641216,,2.931940977,,1.95651717,1.021478847,-0.338205801,2.270594177,1.348358342,0.391852999,0.774883063,1.407641189,2.272704107,1.775522995,-0.12922801,-0.347830062,0.340815365,2.95821216,3.247359751,0.528129262,3.003056839,2.039129721,1.472117435,1.513262978,1.395827045,,2.20860741,-1.878577474,3.1160101,2.004821085,1.647286543,2.348574216,1.009521666,1.783884847,2.820542584,1.951505832,3.582244831,1.18089482,0.726380638,1.642686887,2.111400782,2.209178168,,2.166490933,2.325318538,0.315813482,0.241742443,1.32225274,-0.481039894,0.726108103,2.821882339,0.331786561,2.395681778,-0.34689828,1.579194407,1.287532084,1.897904001,0.456861415,2.927705455,3.877235523,-0.396187947,2.647560742,0.702049484,0.227663375,0.720719985,2.250532178,3.376050711,-0.724616161,0.14950502,2.377581476,0.967455171,0.296788366,0.191500972,2.422969756,1.907087614,2.386459064,0.121049231,1.766341301,,2.052253836,0.736962668,-0.229379183,1.413451093,1.615974921,1.346742745,1.613084909,2.517550998,1.591566277,2.357117299,0.056350738,0.592976031,0.219668696,2.470532238,-0.170069526,2.601809163,1.816237582,3.807850857,0.800401432,1.859107098,-0.549568071,1.596426722,1.371944841,4.604218593,2.039466196,1.161713262,-0.522351159,1.190456345,1.70193142,2.929787088,2.641684256,2.116185231,1.531655719,3.004125343,0.766287275,1.132756825,2.789393992,1.090026772,1.043964526,0.174446038,0.483175553,1.260110117,-0.476438483,,1.170311883,2.686086192,0.862782151,2.052855388,,2.292830131,0.754800957,,0.58669385,1.474804826,3.363836884,2.433721922,,0.488672674,1.699049711,2.411415521,2.564970961,3.477721987,1.888553323,2.614686678,2.040591886,1.471077634,1.975175246,-0.536314414,0.654355651,4.973489276,0.739684398,-0.223571716,-1.395423652,-0.241859173,4.331354328,4.038293324,1.211255582,0.088967153,0.547333756,,1.753593236,2.184699178,2.620854071,-0.171946647,0.087474518,3.248393242,2.696743099,-0.182785028,0.150715929,2.683713,2.629062505,2.046501927,1.129252285,0.444081888,2.354510951,1.415352065,1.169673979,0.281484169,0.632521518,2.688008359,1.125991212,1.028333374,0.347017092,2.666609132,2.936866446,,0.521021569,0.377558299,1.144675675,1.470546029,1.416812476,10.10420935,0.55055724,3.154657544,-1.005494904,5.280986094,0.366391596,2.588109234,1.02600441,0.227229189,1.277805241,2.386544244,1.850244322,1.343919839,2.927975768,2.404438604,0.376989286,,,,0.266548359,,,0.610416103,1.17725532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
